date,"alder, k",baltimor.d,"friedman, ji","horvitz, hr","kendall, hw","khorana, hg","luria, se","macdiarmid, a","schrock, r","sharp, pa","sharpless, k","shockley, w","shull, cg","smoot, gf","ting, scc"
1892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1928.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1932.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1936.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1940.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1944.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1948.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0
1952.0,16.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
1956.0,35.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
1960.0,18.0,0.0,4.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
1964.0,3.0,0.0,1.0,0.0,0.0,14.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1968.0,0.0,0.0,4.0,0.0,0.0,13.0,3.0,0.0,2.0,4.0,0.0,0.0,7.0,0.0,0.0
1972.0,0.0,0.0,1.0,1.0,0.0,18.0,1.0,0.0,9.0,6.0,1.0,0.0,6.0,0.0,4.0
1976.0,0.0,0.0,7.0,0.0,0.0,9.0,2.0,0.0,23.0,17.0,4.0,0.0,2.0,1.0,5.0
1980.0,0.0,0.0,3.0,3.0,0.0,13.0,0.0,0.0,62.0,24.0,0.0,0.0,4.0,0.0,10.0
1984.0,0.0,1.0,2.0,5.0,1.0,9.0,1.0,0.0,72.0,32.0,1.0,0.0,6.0,0.0,13.0
1988.0,0.0,1.0,4.0,9.0,2.0,21.0,2.0,1.0,60.0,47.0,9.0,0.0,5.0,0.0,8.0
1992.0,0.0,0.0,10.0,20.0,3.0,31.0,0.0,1.0,91.0,33.0,0.0,0.0,0.0,0.0,7.0
1996.0,0.0,0.0,64.0,22.0,3.0,31.0,0.0,0.0,56.0,26.0,0.0,0.0,3.0,0.0,26.0
2000.0,0.0,0.0,74.0,28.0,0.0,26.0,0.0,1.0,55.0,23.0,0.0,0.0,0.0,0.0,49.0
2004.0,0.0,0.0,46.0,20.0,0.0,11.0,0.0,0.0,43.0,34.0,0.0,0.0,0.0,0.0,25.0
2008.0,3.0,0.0,2.0,19.0,0.0,9.0,0.0,0.0,86.0,30.0,0.0,0.0,0.0,0.0,6.0
2012.0,0.0,0.0,1.0,23.0,0.0,1.0,0.0,0.0,77.0,30.0,4.0,0.0,0.0,0.0,6.0
2016.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,47.0,36.0,0.0,0.0,0.0,0.0,7.0
