date,albert a. michelson,"alvarez, lw","chandrasekhar, s","compton, ah","cronin, jw","fermi, e","herzberg, g.","huggins, c","koshiba, m","lederman, lm","libby, w","mulliken, r","nambu, yoichiro","rose, i","taube, h"
1892.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1896.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920.0,7.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1924.0,7.0,0.0,0.0,19.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
1928.0,2.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
1932.0,0.0,1.0,11.0,23.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
1936.0,1.0,5.0,17.0,12.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0
1940.0,0.0,4.0,9.0,6.0,0.0,9.0,0.0,1.0,0.0,0.0,5.0,18.0,0.0,0.0,0.0
1944.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0
1948.0,0.0,0.0,31.0,8.0,0.0,15.0,3.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0
1952.0,0.0,1.0,18.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,11.0,8.0,11.0,2.0,5.0
1956.0,0.0,1.0,29.0,2.0,1.0,5.0,0.0,0.0,2.0,0.0,14.0,9.0,8.0,2.0,0.0
1960.0,0.0,8.0,17.0,3.0,3.0,0.0,2.0,1.0,3.0,0.0,1.0,12.0,7.0,3.0,5.0
1964.0,0.0,1.0,30.0,1.0,7.0,1.0,1.0,0.0,2.0,0.0,2.0,7.0,13.0,3.0,4.0
1968.0,0.0,1.0,11.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,8.0,8.0,2.0,0.0
1972.0,0.0,2.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,4.0,0.0
1976.0,0.0,1.0,15.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,3.0,10.0,4.0,1.0,2.0
1980.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0
1984.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0
1988.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
1992.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0
1996.0,0.0,0.0,7.0,0.0,7.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0
2000.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0
2004.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
2008.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0
2012.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0
2016.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
